UserID,EmailID,Language,Location
101,blackpanther@gmail.com,english,wakanda
102,wick@gmail.com,franch,franch
103,bob@gmail.com,english,newyork
104,vardhan@diggybyte.com,telugu,ap
105,join@gmail.com,malayalam,kerala
106,ironman@gmail.com,english,newyork
107,wakanda@diggybyte.com,hindi,mumbai
108,hulk@gmail.com,tamil,chennai
109,jack7@diggybyte.com,spanish,spain
110,alice123@diggybyte.com,kanada ,bangalore
111,alexa@gmail.com,english,bangalore
112,siri@diggybyte.com,tamil,chennai
113,thore@gmail.com,malayalam,kerala
114,hulk@gmail.com,hindi,mumbai
115,smile@diggybyte.com,telugu,ap
